east_err(m),north_err(m),up_err(m),2d_err(m),3d_err(m)
4.460963205655735801e+05,2.549546051508125383e+06,6.495351648645557463e+06,2.588278770917618182e+06,6.992051203727371059e+06
4.460969654926529038e+05,2.549546337320423685e+06,6.495350694328836165e+06,2.588279163607693277e+06,6.992050462567031384e+06
4.460974060320758144e+05,2.549546495536808856e+06,6.495349650727319531e+06,2.588279395384619478e+06,6.992049578898599371e+06
4.460979227068644832e+05,2.549546841413959861e+06,6.495348433943732642e+06,2.588279825136238709e+06,6.992048607635860331e+06
4.460981730589944054e+05,2.549547014943241607e+06,6.495347709218923934e+06,2.588280039217658807e+06,6.992048013641503640e+06
4.460988741674033226e+05,2.549547786474323366e+06,6.495346237540246919e+06,2.588280920041243546e+06,6.992046972566602752e+06
4.460995857319460483e+05,2.549548683298012707e+06,6.495345326140755787e+06,2.588281926084722858e+06,6.992046498323320411e+06
4.460997723386232392e+05,2.549548962207963225e+06,6.495345338376672007e+06,2.588282232983156107e+06,6.992046623296203092e+06
4.460999865937202121e+05,2.549548742389161605e+06,6.495345404755929485e+06,2.588282053381561302e+06,6.992046618475954980e+06
4.460983709419074003e+05,2.549550734433452133e+06,6.495340872328941710e+06,2.588283737152319867e+06,6.992043031314529479e+06
4.460990917572156177e+05,2.549551017983880825e+06,6.495340037417556159e+06,2.588284140694227535e+06,6.992042405095148832e+06
4.460995516420875792e+05,2.549551427285541780e+06,6.495339008749781176e+06,2.588284623133440036e+06,6.992041628089439124e+06
4.461000867996355519e+05,2.549551930318511557e+06,6.495338451211133972e+06,2.588285210874854587e+06,6.992041327725068666e+06
4.461005628656811314e+05,2.549552260794201400e+06,6.495338312892306596e+06,2.588285618456722703e+06,6.992041350109177642e+06
4.461010782482973300e+05,2.549551732606750913e+06,6.495336447454730980e+06,2.588285187001691200e+06,6.992039457474923693e+06
4.461022243841432501e+05,2.549552824262683280e+06,6.495334698796067387e+06,2.588286459862259217e+06,6.992038304220773280e+06
4.461034528711335734e+05,2.549553886070856359e+06,6.495332805711673573e+06,2.588287717515684664e+06,6.992037011171840131e+06
4.461037603337705368e+05,2.549554328849775251e+06,6.495332251508845948e+06,2.588288206661027856e+06,6.992036677408916876e+06
4.461039508672619122e+05,2.549554901353815105e+06,6.495331606762838550e+06,2.588288803436866030e+06,6.992036299377239309e+06
4.461041455361361732e+05,2.549554936216817703e+06,6.495331634297892451e+06,2.588288871330259368e+06,6.992036350088791922e+06
4.461048914606650942e+05,2.549555452559926081e+06,6.495330758001262322e+06,2.588289508510047104e+06,6.992035771912242286e+06
4.461068482001075172e+05,2.549554891081608366e+06,6.495330579068074003e+06,2.588289292689127848e+06,6.992035525798334740e+06
4.461075775063867914e+05,2.549555478908382822e+06,6.495330515465987846e+06,2.588289997419217136e+06,6.992035727589213289e+06
4.461082144858575193e+05,2.549555201192620676e+06,6.495329919389138930e+06,2.588289833646940067e+06,6.992035113232185133e+06
4.461090613914124551e+05,2.549555814886694308e+06,6.495329482917423360e+06,2.588290584126535803e+06,6.992034985577117652e+06
4.461095509809980867e+05,2.549556498851687182e+06,6.495329092405837029e+06,2.588291342239768244e+06,6.992034903443129733e+06
4.461098194611848448e+05,2.549557299694965594e+06,6.495327723409036174e+06,2.588292177372480743e+06,6.992033940845367499e+06
4.461101076912804856e+05,2.549557389397106133e+06,6.495327417383464053e+06,2.588292315410628449e+06,6.992033707658098079e+06
4.461104974484975683e+05,2.549558045941775199e+06,6.495326640996524133e+06,2.588293029307189863e+06,6.992033250693203881e+06
4.461103908736933372e+05,2.549557906828412320e+06,6.495325509809089825e+06,2.588292873906806111e+06,6.992032142338410951e+06
4.461108043516836478e+05,2.549558205607634969e+06,6.495324474337091669e+06,2.588293239480513148e+06,6.992031315752450377e+06
4.461114677015420166e+05,2.549558705031961668e+06,6.495322430357235484e+06,2.588293845763860736e+06,6.992029641407486051e+06
4.461124442175948061e+05,2.549559708146787249e+06,6.495320728937296197e+06,2.588295002176399343e+06,6.992028488933226094e+06
4.461115737714305869e+05,2.549561674220565706e+06,6.495318232290904969e+06,2.588296788798996247e+06,6.992026831015299074e+06
4.461116957387333387e+05,2.549562004611316603e+06,6.495316327904989012e+06,2.588297135267232545e+06,6.992025190170707181e+06
4.461130903682999196e+05,2.549562733578438405e+06,6.495315176633590832e+06,2.588298093699779827e+06,6.992024475476081483e+06
4.461142758708508918e+05,2.549563482602589298e+06,6.495314101857715286e+06,2.588299035845050123e+06,6.992023825813818723e+06
4.461150925836448441e+05,2.549564818049200345e+06,6.495312398903940804e+06,2.588300492072967347e+06,6.992022782901985571e+06
4.461155758584209252e+05,2.549565034190721810e+06,6.495311246116501279e+06,2.588300788276243955e+06,6.992021821656375192e+06
4.461157709893723368e+05,2.549565257594768424e+06,6.495309933498048224e+06,2.588301041969368700e+06,6.992020696197783574e+06
4.461162285536159179e+05,2.549565960460281931e+06,6.495309049722834490e+06,2.588301813181117643e+06,6.992020160692331381e+06
4.461167152624495793e+05,2.549566167235627305e+06,6.495308408361813985e+06,2.588302100750436541e+06,6.992019671345669776e+06
4.461170885637930478e+05,2.549566290645636618e+06,6.495307127500183880e+06,2.588302286655325443e+06,6.992018550294319168e+06
4.461177103961327230e+05,2.549565726721906569e+06,6.495305979935288429e+06,2.588301838349633384e+06,6.992017318298576400e+06
4.461183962850634707e+05,2.549566103856062517e+06,6.495305340710078366e+06,2.588302328059019521e+06,6.992016905764216557e+06
4.461187814998361864e+05,2.549566001294879243e+06,6.495304250447545201e+06,2.588302293428195640e+06,6.992015880134112202e+06
4.461192844977424829e+05,2.549566532493796200e+06,6.495303947167823091e+06,2.588302903373795096e+06,6.992015824188838713e+06
4.461196256345479051e+05,2.549566786073544994e+06,6.495302931315292604e+06,2.588303211956762709e+06,6.992014994733544067e+06
4.461199688407432404e+05,2.549567619231889490e+06,6.495302390554754995e+06,2.588304091801083181e+06,6.992014818089314736e+06
