iTOW,version,reserved0,srcOfCurrLs,currLs,srcOfLsChange,lsChange,timeToLsEvent,dateOfLsGpsWn,dateOfLsGpsDn,reserved1,validCurrLs,validTimeToLsEvent
94528700,0,0,2,18,2,0,31355090,2441,7,0,1,1
94528800,0,0,2,18,2,0,31355090,2441,7,0,1,1
94528900,0,0,2,18,2,0,31355090,2441,7,0,1,1
94529000,0,0,2,18,2,0,31355089,2441,7,0,1,1
94529100,0,0,2,18,2,0,31355089,2441,7,0,1,1
94529200,0,0,2,18,2,0,31355089,2441,7,0,1,1
94529300,0,0,2,18,2,0,31355089,2441,7,0,1,1
94529400,0,0,2,18,2,0,31355089,2441,7,0,1,1
94529500,0,0,2,18,2,0,31355089,2441,7,0,1,1
94529600,0,0,2,18,2,0,31355089,2441,7,0,1,1
94529700,0,0,2,18,2,0,31355089,2441,7,0,1,1
94529800,0,0,2,18,2,0,31355089,2441,7,0,1,1
94529900,0,0,2,18,2,0,31355089,2441,7,0,1,1
94530000,0,0,2,18,2,0,31355088,2441,7,0,1,1
94530200,0,0,2,18,2,0,31355088,2441,7,0,1,1
94530300,0,0,2,18,2,0,31355088,2441,7,0,1,1
94530400,0,0,2,18,2,0,31355088,2441,7,0,1,1
94530500,0,0,2,18,2,0,31355088,2441,7,0,1,1
94530600,0,0,2,18,2,0,31355088,2441,7,0,1,1
94530700,0,0,2,18,2,0,31355088,2441,7,0,1,1
94530800,0,0,2,18,2,0,31355088,2441,7,0,1,1
94530900,0,0,2,18,2,0,31355088,2441,7,0,1,1
94531000,0,0,2,18,2,0,31355087,2441,7,0,1,1
94531100,0,0,2,18,2,0,31355087,2441,7,0,1,1
94531200,0,0,2,18,2,0,31355087,2441,7,0,1,1
94531300,0,0,2,18,2,0,31355087,2441,7,0,1,1
94531400,0,0,2,18,2,0,31355087,2441,7,0,1,1
94531500,0,0,2,18,2,0,31355087,2441,7,0,1,1
94531600,0,0,2,18,2,0,31355087,2441,7,0,1,1
94531700,0,0,2,18,2,0,31355087,2441,7,0,1,1
94531800,0,0,2,18,2,0,31355087,2441,7,0,1,1
94531900,0,0,2,18,2,0,31355087,2441,7,0,1,1
94532000,0,0,2,18,2,0,31355086,2441,7,0,1,1
94532200,0,0,2,18,2,0,31355086,2441,7,0,1,1
94532300,0,0,2,18,2,0,31355086,2441,7,0,1,1
