iTOW,velN,velE,velD,speed,gSpeed,heading,sAcc,cAcc
94537800,0,0,0,0,0,0.0,1,57.29578
94537900,0,0,0,0,0,0.0,1,57.29578
94538000,0,0,0,0,0,0.0,1,57.29578
94538200,0,0,0,0,0,0.0,1,57.29578
94538300,0,0,0,0,0,0.0,1,57.29578
94538400,0,0,0,0,0,0.0,1,57.29578
94538500,0,0,0,0,0,0.0,1,57.29578
94538600,0,0,0,0,0,0.0,1,57.29578
94538700,0,0,0,0,0,0.0,1,57.29578
94538800,0,0,0,0,0,0.0,1,57.29578
94538900,0,0,0,0,0,0.0,1,57.29578
94539000,0,0,0,0,0,0.0,1,57.29578
94539100,0,0,0,0,0,0.0,1,57.29578
94539200,0,0,0,0,0,0.0,1,57.29578
94539300,0,0,0,0,0,0.0,1,57.29578
94539400,0,0,0,0,0,0.0,1,57.29578
94539500,0,0,0,0,0,0.0,1,57.29578
94539600,0,0,0,0,0,0.0,1,57.29578
94539700,0,0,0,0,0,0.0,1,57.29578
94539800,0,0,0,0,0,0.0,1,57.29578
94539900,0,0,0,0,0,0.0,1,57.29578
94540000,0,0,0,0,0,0.0,1,57.29578
94540200,0,0,0,0,0,0.0,1,57.29578
94540300,0,0,0,0,0,0.0,1,57.29578
94540400,0,0,0,0,0,0.0,1,57.29578
94540500,0,0,0,0,0,0.0,1,57.29578
94540600,0,0,0,0,0,0.0,1,57.29578
94540700,0,0,0,0,0,0.0,1,57.29578
94540800,0,0,0,0,0,0.0,1,57.29578
94540900,0,0,0,0,0,0.0,1,57.29578
94541000,0,0,0,0,0,0.0,1,57.29578
94541100,0,0,0,0,0,0.0,1,57.29578
94541200,0,0,0,0,0,0.0,1,57.29578
94541300,0,0,0,0,0,0.0,1,57.29578
94541400,0,0,0,0,0,0.0,1,57.29578
94541600,0,0,0,0,0,0.0,1,57.29578
94541700,0,0,0,0,0,0.0,1,57.29578
94541800,0,0,0,0,0,0.0,1,57.29578
94541900,0,0,0,0,0,0.0,1,57.29578
94542000,0,0,0,0,0,0.0,1,57.29578
94542100,0,0,0,0,0,0.0,1,57.29578
94542200,0,0,0,0,0,0.0,1,57.29578
94542300,0,0,0,0,0,0.0,1,57.29578
94542400,0,0,0,0,0,0.0,1,57.29578
94542500,0,0,0,0,0,0.0,1,57.29578
94542600,0,0,0,0,0,0.0,1,57.29578
94542700,0,0,0,0,0,0.0,1,57.29578
94542800,0,0,0,0,0,0.0,1,57.29578
94542900,0,0,0,0,0,0.0,1,57.29578
94543000,0,0,0,0,0,0.0,1,57.29578
94543200,0,0,0,0,0,0.0,1,57.29578
94543300,0,0,0,0,0,0.0,1,57.29578
94543400,0,0,0,0,0,0.0,1,57.29578
94543500,0,0,0,0,0,0.0,1,57.29578
94543600,0,0,0,0,0,0.0,1,57.29578
94543700,0,0,0,0,0,0.0,1,57.29578
94543800,0,0,0,0,0,0.0,1,57.29578
94543900,0,0,0,0,0,0.0,1,57.29578
94544000,0,0,0,0,0,0.0,1,57.29578
94544200,0,0,0,0,0,0.0,1,57.29578
94544300,0,0,0,0,0,0.0,1,57.29578
94544400,0,0,0,0,0,0.0,1,57.29578
94544500,0,0,0,0,0,0.0,1,57.29578
94544600,0,0,0,0,0,0.0,1,57.29578
94544700,0,0,0,0,0,0.0,1,57.29578
94544800,0,0,0,0,0,0.0,1,57.29578
94544900,0,0,0,0,0,0.0,1,57.29578
94545000,0,0,0,0,0,0.0,1,57.29578
94545100,0,0,0,0,0,0.0,1,57.29578
94545200,0,0,0,0,0,0.0,1,57.29578
94545400,0,0,0,0,0,0.0,1,57.29578
94545500,0,0,0,0,0,0.0,1,57.29578
94545600,0,0,0,0,0,0.0,1,57.29578
94545700,0,0,0,0,0,0.0,1,57.29578
94545800,0,0,0,0,0,0.0,1,57.29578
94545900,0,0,0,0,0,0.0,1,57.29578
