version,reserved0,invalidLlh,iTOW,lon,lat,height,hMSL,hAcc,vAcc
0,0,0,108605500,114.181387045,22.300928287,15782.8,17385.8,301.3,530.0
0,0,0,108605700,114.181387148,22.300930235,15795.7,17398.7,301.4,530.1
0,0,0,108605900,114.181387473,22.300932063,15772.6,17375.5,301.5,530.2
0,0,0,108606100,114.181387473,22.30093414,15738.4,17341.3,301.6,530.3
0,0,0,108606300,114.181387505,22.300936226,15761.1,17364.0,301.7,530.4
0,0,0,108606500,114.181388042,22.300938324,15718.2,17321.2,301.8,530.5
0,0,0,108606700,114.181388192,22.300940571,15729.8,17332.7,301.9,530.5
0,0,0,108606900,114.181388588,22.30094249,15730.1,17333.1,302.0,530.6
0,0,0,108607100,114.181388477,22.300944325,15718.4,17321.4,302.1,530.7
0,0,0,108607300,114.181388677,22.300946621,15751.3,17354.3,302.2,530.8
0,0,0,108607500,114.181388793,22.300948937,15761.7,17364.7,302.3,530.9
0,0,0,108607700,114.181389094,22.300950922,15752.5,17355.4,302.4,531.0
0,0,0,108607900,114.181388358,22.300952542,15801.3,17404.3,302.5,531.1
0,0,0,108608100,114.181387738,22.30095412,15730.2,17333.2,302.6,531.1
0,0,0,108608300,114.181387057,22.300956028,15710.1,17313.0,302.7,531.2
0,0,0,108608500,114.181386101,22.300957736,15724.4,17327.4,302.8,531.3
0,0,0,108608700,114.181385818,22.300959568,15684.5,17287.5,302.9,531.3
0,0,0,108608900,114.18138518,22.300961734,15692.1,17295.1,303.0,531.4
0,0,0,108609100,114.181384653,22.300963501,15677.2,17280.1,303.1,531.5
0,0,0,108609300,114.181383483,22.300964997,15682.9,17285.9,303.2,531.6
0,0,0,108609500,114.181382938,22.300966879,15716.8,17319.8,303.3,531.7
0,0,0,108609700,114.181381774,22.300969537,15727.1,17330.2,303.4,531.8
0,0,0,108609900,114.181380477,22.300971941,15700.8,17303.8,303.5,532.0
0,0,0,108610000,114.181379437,22.300972965,15772.3,17375.3,303.1,531.4
0,0,0,108610200,114.181378361,22.300974397,15759.2,17362.3,303.3,531.5
0,0,0,108610400,114.181377146,22.300975921,15754.5,17357.6,303.4,531.7
0,0,0,108610600,114.181376024,22.300977826,15793.1,17396.1,303.5,531.9
0,0,0,108610800,114.181375019,22.300979733,15758.1,17361.1,303.6,532.1
0,0,0,108610900,114.181373923,22.30098101,15729.4,17332.4,303.3,531.6
0,0,0,108611100,114.181373094,22.30098244,15782.9,17385.9,303.4,531.9
0,0,0,108611300,114.181371967,22.300983706,15758.6,17361.6,303.6,532.1
0,0,0,108611500,114.181370447,22.300985693,15760.9,17364.0,303.7,532.4
0,0,0,108611700,114.181369058,22.300987291,15773.4,17376.4,303.8,532.7
0,0,0,108611800,114.181368144,22.300988345,15780.3,17383.4,303.5,532.2
0,0,0,108612000,114.181366755,22.30099098,15696.4,17299.5,303.6,532.4
0,0,0,108612200,114.18136551,22.300992264,15707.9,17310.9,303.7,532.5
0,0,0,108612400,114.181364223,22.300993651,15648.2,17251.3,303.9,532.6
0,0,0,108612500,114.181363015,22.300994282,15601.9,17204.9,303.5,531.9
0,0,0,108612700,114.181361963,22.300996047,15622.2,17225.3,303.6,532.0
0,0,0,108612800,114.181361195,22.300997206,15654.0,17257.1,303.2,531.3
0,0,0,108613000,114.181360518,22.300999276,15631.2,17234.3,303.3,531.5
0,0,0,108613200,114.181359477,22.301001189,15672.2,17275.3,303.5,531.7
0,0,0,108613300,114.181358992,22.301002029,15681.9,17285.0,303.2,531.2
0,0,0,108613500,114.181357851,22.301003235,15660.0,17263.1,303.3,531.4
0,0,0,108613700,114.181356633,22.301005494,15645.3,17248.5,303.5,531.5
0,0,0,108613900,114.18135594,22.301008153,15637.0,17240.2,303.6,531.7
0,0,0,108614100,114.181355456,22.301010323,15593.9,17197.0,303.7,531.8
0,0,0,108614300,114.181354491,22.301011814,15636.9,17240.0,303.9,531.9
0,0,0,108614500,114.181353947,22.301013476,15583.8,17187.0,304.1,532.1
0,0,0,108614600,114.181353817,22.301014438,15519.5,17122.6,303.7,531.5
0,0,0,108614800,114.181352887,22.301016579,15545.6,17148.8,303.9,531.8
0,0,0,108615000,114.181352201,22.301019287,15524.1,17127.2,304.0,532.0
0,0,0,108615200,114.181351365,22.30102172,15494.2,17097.4,304.2,532.2
0,0,0,108615400,114.181350106,22.301023103,15469.8,17072.9,304.3,532.5
0,0,0,108615500,114.181349589,22.301023869,15420.7,17023.9,304.0,531.9
0,0,0,108615700,114.181348046,22.301025395,15416.9,17020.1,304.1,532.1
0,0,0,108615900,114.181346594,22.301027012,15413.1,17016.2,304.3,532.4
0,0,0,108616000,114.181345567,22.30102779,15429.6,17032.8,303.9,531.8
0,0,0,108616200,114.18134412,22.30102946,15412.0,17015.2,304.1,532.1
0,0,0,108616300,114.181343206,22.301030416,15433.8,17037.0,303.8,531.6
0,0,0,108616400,114.181342181,22.301030616,15487.5,17090.7,303.4,531.2
0,0,0,108616600,114.181340639,22.301031652,15481.2,17084.4,303.6,531.5
0,0,0,108616800,114.181338549,22.301033445,15468.0,17071.2,303.7,531.8
0,0,0,108617000,114.181336794,22.301035112,15475.1,17078.4,303.9,532.1
0,0,0,108617200,114.181335726,22.301036959,15447.0,17050.2,304.0,532.4
0,0,0,108617400,114.181334238,22.301038919,15433.0,17036.3,304.2,532.6
0,0,0,108617600,114.181332604,22.301040627,15404.4,17007.7,304.3,532.9
0,0,0,108617800,114.181331277,22.301042306,15379.9,16983.2,304.5,533.2
0,0,0,108617900,114.181330333,22.301043301,15393.9,16997.1,304.2,532.8
0,0,0,108618100,114.181328887,22.30104531,15381.4,16984.7,304.4,533.0
0,0,0,108618300,114.18132746,22.301047107,15332.5,16935.8,304.5,533.3
0,0,0,108618500,114.181325587,22.301048704,15385.5,16988.8,304.7,533.5
